Order_Date,Total_Profit
2003-01-06,3940.3601666259765
2003-01-09,5236.740060577394
2003-01-10,2135.9400322723386
2003-01-29,18827.10990447998
2003-01-31,15680.799996566775
2003-02-11,21374.330246887206
2003-02-17,21298.219738540647
2003-02-24,9307.770249481202
2003-03-03,19871.43981239319
2003-03-10,11642.419954910276
2003-03-18,20489.510312499995
2003-03-24,3418.1799749755864
2003-03-25,6061.269982910157
2003-03-26,4620.199894714356
2003-04-01,12844.379923477172
2003-04-04,7998.779945831298
2003-04-11,906.1200185394287
2003-04-16,17838.750177764894
2003-04-21,1262.159994506836
2003-04-28,14482.439981536863
2003-04-29,18514.18012168884
2003-05-07,7313.500223846436
2003-05-08,18285.76967445374
2003-05-20,6673.080090942383
2003-05-21,15749.460341033935
2003-05-28,23565.17985145569
2003-06-03,24097.069911575316
2003-06-06,4664.7500059509275
2003-06-12,11138.16012252808
2003-06-16,8563.13981628418
2003-06-25,921.5999450683594
2003-06-27,8844.850056686402
2003-07-01,10946.750178070068
2003-07-02,21908.969878997803
2003-07-04,5571.00990600586
2003-07-07,12131.330224456788
2003-07-10,6232.260099182129
2003-07-16,9880.380174179078
2003-07-24,15402.88980377197
2003-08-01,11020.259864196778
2003-08-08,22591.770063934324
2003-08-10,15435.359760284426
2003-08-13,467.7999908447264
2003-08-25,20680.690519561773
2003-09-03,3054.7399552917477
2003-09-05,12452.759966430664
2003-09-11,16644.530083160404
2003-09-12,12938.780200805664
2003-09-19,14634.099813842777
2003-09-21,13394.979809799193
2003-09-25,3308.1701415252687
2003-09-28,17427.470056152342
2003-10-02,1788.7199607849125
2003-10-04,9223.319990692138
2003-10-05,12688.419779663085
2003-10-06,25041.190169067388
2003-10-08,1603.119937438965
2003-10-09,6216.390062103272
2003-10-10,24581.020365295408
2003-10-11,6329.859668731689
2003-10-17,13952.67002960205
2003-10-18,13543.250335159302
2003-10-20,9122.070004577636
2003-10-21,14300.609722137451
2003-10-22,26465.570071792605
2003-10-23,16394.260074462894
2003-10-28,19310.149965667726
2003-11-04,21160.05001846313
2003-11-05,33688.0102204895
2003-11-06,39729.49979957581
2003-11-07,11714.600178680419
2003-11-08,13549.969878997803
2003-11-11,26587.72038284301
2003-11-12,40403.87012641905
2003-11-13,11976.299996643067
2003-11-14,48464.81999221802
2003-11-15,10210.619856338502
2003-11-18,14464.200299377442
2003-11-19,3908.9601205444333
2003-11-20,31483.699602355955
2003-11-21,15018.820269470212
2003-11-25,31135.56970977784
2003-11-26,30766.329985656736
2003-11-27,9442.780008544923
2003-12-01,20073.350219955446
2003-12-02,48577.57001838685
2003-12-03,5593.080120239258
2003-12-05,15958.379882202147
2003-12-09,22461.459931030273
2004-01-02,19397.0202204895
2004-01-09,8598.5098928833
2004-01-12,18374.310232009888
2004-01-15,22311.18019882202
2004-01-16,21873.979645538333
2004-01-22,2845.150094909668
2004-01-26,11237.060218200682
2004-01-29,14815.819924087524
2004-02-02,2409.719934387207
2004-02-04,7813.660007400512
2004-02-09,3316.5399346923823
2004-02-10,4291.339890747069
2004-02-12,12358.000147094726
2004-02-18,6009.3001583862315
2004-02-19,22089.34984817505
2004-02-20,18347.790222396852
2004-02-21,8723.060257568359
2004-02-22,18679.239643020624
2004-02-26,9505.350021209717
2004-03-02,17420.580348281863
2004-03-10,8846.269964447021
2004-03-11,16760.11995391846
2004-03-15,11684.500020141599
2004-03-19,7238.70000427246
2004-03-20,8996.940215454102
2004-03-29,3093.129970703125
2004-03-30,12560.120019073483
2004-04-02,10829.73987953186
2004-04-03,2480.790068511963
2004-04-05,9684.260238037108
2004-04-09,11510.639990997315
2004-04-12,5663.059783782957
2004-04-13,21729.710274353027
2004-04-20,679.4200000000001
2004-04-26,2783.2300315856937
2004-04-29,10542.940147552488
2004-05-04,12997.389876098632
2004-05-05,26394.690037994387
2004-05-07,16715.930153808593
2004-05-08,4888.4298469543455
2004-05-11,17144.92997177124
2004-05-18,14116.100301361088
2004-05-26,10892.550156555177
2004-06-01,17651.25982765198
2004-06-03,14006.240275726319
2004-06-04,2128.3000360107426
2004-06-08,1946.1100296783445
2004-06-14,5644.570092010499
2004-06-15,27310.119661407465
2004-06-16,16242.270104293822
2004-06-17,8059.50004119873
2004-06-24,19197.1699117279
2004-06-28,18602.52032043457
2004-06-30,8234.089989624023
2004-07-02,3606.870139007568
2004-07-06,20809.31989814758
2004-07-07,7293.3500265502935
2004-07-12,16009.86029083252
2004-07-16,2562.5600927734376
2004-07-19,12734.429851989746
2004-07-20,24851.369895782474
2004-07-21,22377.02004669189
2004-07-23,17951.0098928833
2004-08-02,22285.850165710446
2004-08-04,967.400012817383
2004-08-06,13310.909848098756
2004-08-09,7085.670010833741
2004-08-17,20206.440208663942
2004-08-19,14771.809930496218
2004-08-20,31930.5700440979
2004-08-21,12977.340002212526
